hotel_id,hotel_name,hotel_price
121,OYO 4809 Hotel Mannat Excellency,
122,Bhavya Resort Jaisalmer,
123,Rajwada Desert Camp,
124,Jain Empire Resort,
125,Desert Springs Resorts,
126,Peace Desert Camp,
127,Kanj Shekhana Desert Safari Camp,
128,The Yellow Stone - Luxury resort & Spa,
129,Savi Camps,
130,Shama Desert Camp,
131,Hotel Nirmal Haveli,
132,Anantara Resort & Spa,
133,Hotel Siddhartha,
134,Club Mahindra Jaisalmer,
135,Ozaki Desert Safari Camp Jaisalmer,
136,Kaviraj Desert Camp,
137,Country side resor jaisalmer,
138,Jaisalmer Desert Safari Camps and Resort,
139,Jain Empire Resort and Camp,
140,Sky Blue Desert Camp Jaisalmer,
141,Jaigarh Brys Fort,
142,Welcome Desert Camps,
143,Hotel Moonlight,
144,Desert Den,
145,Awesam Hotel and Resort,
146,Camp Paradise,
147,Kahla home,
148,The Royale Jaisalmer,
149,Desert Tulip Hotel & Resort,
150,Stay Inn Resort,
151,Hotel Garh Jaisal Haveli,
152,mr camel safari,
153,The Narayan Resort,
154,mayhi desert safari,
155,Hotel Sohandeep,
156,OYO 1352 Hotel Desert Moon,
157,Camp e Khas,
158,Desert Safari Camp,
159,Oasis India Camps,
160,Marina Resort With Swimming Pool,
161,Hotel Rajmandir,
162,Destiny desert safari camp,
163,The Kafila Desert Camp,
164,"Beyond Stay Garh Rajputana Camps, Jaisalmer",
165,Jaisalmer Khodiyar Resort,
166,Prince Desert Camp,
167,The Golden Camp,
168,V Resorts Pithla Heritage Jaisalmer,
169,Desert Nature Camp Resort,
170,ADB Rooms Hotel Vallabh Darshan,
171,Raahi Desert Resort,
172,Spirit Desert Camp,
173,OYO 24424 Kf Resorts Pvt Ltd,
174,Desert Gateway Resort,
175,WelcomHeritage Kalyan Bhawan,
176,Treebo Trip Bansuri Jaisalmer,
177,Kabila Camp by At Your Service Hospitality,
178,Hotel Chouhan Heritage,
179,Hotel Sun Shine,
180,Country side resort Jaisalmer,
181,Desert Raasleela Camp,
182,Jaisalmer Desert Resort,
183,Maharaja Desert Camp,
184,Castle View,
185,Arya Haveli,
186,Hotel Golden City,
187,Hotel Ajanta Haveli,
188,Le Royal Camps,
189,The Desert Palace,
190,Thakur Ji Resort,
191,Karni Desert Camp,
192,Hotel Leela Nikunj,
193,Rojani Resort,
194,Hotel Jaisalmer Haveli,
195,Yokoso Thar Desert Safari and Camp,
196,Fort Rajwada,
197,Singh's Royal Desert Resort,
198,Star desert camp,
199,Joggan Jaisalmer Camp,
200,Dynasty Desert Camp,
201,Hotel Jessulkot,
202,OYO 9470 The Grace Inn,
203,Hotel Priya,
204,The Chirag Desert Camp,
205,Chokhi Dhani Desert Camp,
206,OYO 18506 Regal Golden Palace,
207,Hotel Narayan Niwas Palace,
208,Hotel Sanjay Villa,
209,Sam Desert Camp,
210,Sartaj Hotel,
211,Sheesh Mahal Desert Camp,
212,Hotel Kotwal Haveli,
213,OYO 23680 Kabila Camps,
214,Desert Adventure Camp Jaisalmer,
215,Dunes Desert Safari And Camp,
216,Jaisalmer Desert Safari Camps and Resort,
217,Desert Haveli,
218,Shiv Tara Desert Camp,
219,Vinayak Desert Camp,
220,Chokhi Dhani The Palace Hotel,
221,Moustache Hamari Haveli,
222,Om Desert Resort,
223,Deoki Niwas Palace,
224,Mohin Desert Safari Camp,
225,Desert Holiday Camp,
226,Boutique Helsinki,
227,Seven Palms Desert Camp,
228,Hotel Prince,
229,Hotel Hayyat,
230,Ozaki Desert Safari Camp Jaisalmer,
231,Hotel Renuka,
232,ADB Rooms Jaisalmer Dunes Camp,
233,Hotel Oasis Haveli,
234,Rajputana Desert Camp,
235,Hello we are greeting from royal stay jaisalmer ,
236,hotel apollo jaisalmer,
237,fotiya hotel,
238,Rajputana Desert Camp,
239,The Golden House,
240,V Resorts Desert Pride Jaisalmer,
241,The Mamas Resort and Camp,
242,Atulya Garh Marwar,
243,Atulya garh marwar,
244,V Resorts Paradesert Camps Jaisalmer,
245,Gangaur Desert Resort Khuri,
246,The Marwar Camp,
247,Registhan Guest House,
248,rajwadi desert camp,
249,Pansari Resort & Camp,
